# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
149           	GAMG	9.526610e-02	2.185180e-04	2	true
150           	GAMG	9.320590e-02	2.174850e-04	2	true
151           	GAMG	9.198850e-02	2.174290e-04	2	true
152           	GAMG	8.960970e-02	2.063910e-04	2	true
153           	GAMG	8.876800e-02	2.052980e-04	2	true
154           	GAMG	8.717980e-02	2.007940e-04	2	true
155           	GAMG	8.552770e-02	1.934900e-04	2	true
156           	GAMG	8.508950e-02	1.936480e-04	2	true
157           	GAMG	8.453530e-02	1.939350e-04	2	true
158           	GAMG	8.362360e-02	1.889880e-04	2	true
159           	GAMG	8.289230e-02	1.882080e-04	2	true
160           	GAMG	8.178780e-02	1.905830e-04	2	true
161           	GAMG	8.198430e-02	1.882230e-04	2	true
162           	GAMG	8.145050e-02	1.849240e-04	2	true
163           	GAMG	8.095130e-02	1.849950e-04	2	true
164           	GAMG	8.064500e-02	1.839620e-04	2	true
165           	GAMG	7.989300e-02	1.891760e-04	2	true
166           	GAMG	8.049250e-02	1.914010e-04	2	true
167           	GAMG	8.058610e-02	1.938690e-04	2	true
168           	GAMG	8.018060e-02	1.908000e-04	2	true
169           	GAMG	7.993450e-02	1.890700e-04	2	true
170           	GAMG	7.956130e-02	1.906570e-04	2	true
171           	GAMG	7.910740e-02	1.833750e-04	2	true
172           	GAMG	7.926910e-02	1.796390e-04	2	true
173           	GAMG	7.880400e-02	1.780740e-04	2	true
174           	GAMG	7.938920e-02	1.798950e-04	2	true
175           	GAMG	8.008220e-02	1.725680e-04	2	true
176           	GAMG	8.029040e-02	1.765780e-04	2	true
177           	GAMG	8.054080e-02	1.727880e-04	2	true
178           	GAMG	8.053730e-02	1.754420e-04	2	true
179           	GAMG	8.062200e-02	1.655620e-04	2	true
180           	GAMG	8.132230e-02	1.693280e-04	2	true
181           	GAMG	8.200090e-02	1.657900e-04	2	true
182           	GAMG	8.158440e-02	1.694750e-04	2	true
183           	GAMG	8.106220e-02	1.642020e-04	2	true
184           	GAMG	8.186840e-02	1.699630e-04	2	true
185           	GAMG	8.173990e-02	1.629590e-04	2	true
186           	GAMG	8.176140e-02	1.605690e-04	2	true
187           	GAMG	8.243780e-02	1.639340e-04	2	true
188           	GAMG	8.366990e-02	1.639740e-04	2	true
189           	GAMG	8.350440e-02	1.640670e-04	2	true
190           	GAMG	8.399410e-02	1.665420e-04	2	true
191           	GAMG	8.345050e-02	1.713680e-04	2	true
192           	GAMG	8.333320e-02	1.693350e-04	2	true
193           	GAMG	8.358070e-02	1.694970e-04	2	true
194           	GAMG	8.293530e-02	1.730650e-04	2	true
195           	GAMG	8.262750e-02	1.756050e-04	2	true
196           	GAMG	8.275480e-02	1.867580e-04	2	true
197           	GAMG	8.327870e-02	1.891320e-04	2	true
198           	GAMG	8.425540e-02	1.909660e-04	2	true
199           	GAMG	8.404940e-02	1.854640e-04	2	true
